제목,주소
은혼 1기,https://laftel.net/finder?modal=16075
주술회전 1기 part 1,https://laftel.net/finder?modal=39986
(무삭제) 귀멸의 칼날,https://laftel.net/finder?modal=39431
전생했더니 슬라임이었던 건에 대하여 1기,https://laftel.net/finder?modal=38912
(더빙) 꿈빛 파티시엘 리마스터,https://laftel.net/finder?modal=15983
귀멸의 칼날 : 환락의 거리편,https://laftel.net/finder?modal=40562
하이큐!! 1기,https://laftel.net/finder?modal=23661
주술회전 1기 part 2,https://laftel.net/finder?modal=40192
(자막) 하이큐!! 2기,https://laftel.net/finder?modal=25004
(자막) SPY×FAMILY part 1,https://laftel.net/finder?modal=40815
귀멸의 칼날 : 도공 마을편,https://laftel.net/finder?modal=41372
(자막) 데스노트 리마스터,https://laftel.net/finder?modal=40846
장송의 프리렌,https://laftel.net/finder?modal=41666
진격의 거인 1기,https://laftel.net/finder?modal=23232
【최애의 아이】,https://laftel.net/finder?modal=41389
전생했더니 슬라임이었던 건에 대하여 2기 2부,https://laftel.net/finder?modal=40382
주술회전 2기 : 시부야 사변,https://laftel.net/finder?modal=41613
(더빙) 가정교사 히트맨 리본!,https://laftel.net/finder?modal=13806
그 비스크 돌은 사랑을 한다,https://laftel.net/finder?modal=40655
하이큐!! TO THE TOP part 1,https://laftel.net/finder?modal=39631
(자막) 나의 히어로 아카데미아 2기,https://laftel.net/finder?modal=37192
(자막) 나의 히어로 아카데미아 3기,https://laftel.net/finder?modal=38543
호리미야,https://laftel.net/finder?modal=40157
(자막) SPY×FAMILY part 2,https://laftel.net/finder?modal=41058
전생했더니 슬라임이었던 건에 대하여 2기 1부,https://laftel.net/finder?modal=40163
(자막) 나의 히어로 아카데미아 4기,https://laftel.net/finder?modal=39514
소드 아트 온라인 1기,https://laftel.net/finder?modal=22643
방패 용사 성공담 Season 1,https://laftel.net/finder?modal=39081
마슐,https://laftel.net/finder?modal=41379
체인소 맨,https://laftel.net/finder?modal=41105
지박소년 하나코 군,https://laftel.net/finder?modal=39654
하이큐!! TO THE TOP part 2,https://laftel.net/finder?modal=39984
(자막) 오란고교 사교클럽,https://laftel.net/finder?modal=15516
터무니없는 스킬로 이세계 방랑 밥,https://laftel.net/finder?modal=41218
(자막) 나의 히어로 아카데미아 5기,https://laftel.net/finder?modal=40276
(자막) 나의 히어로 아카데미아 6기,https://laftel.net/finder?modal=41067
(더빙) 오란고교 사교클럽,https://laftel.net/finder?modal=39808
암살교실 1기,https://laftel.net/finder?modal=24512
어둠의 실력자가 되고 싶어서! part 1,https://laftel.net/finder?modal=41094
앙상블 스타즈!,https://laftel.net/finder?modal=39141
이세계 유유자적 농가,https://laftel.net/finder?modal=41198
(더빙) 강철의 연금술사 BROTHERHOOD,https://laftel.net/finder?modal=13494
진격의 거인 The FINAL part 1,https://laftel.net/finder?modal=40120
다이아몬드 에이스 1기,https://laftel.net/finder?modal=23203
문호 스트레이독스 1기,https://laftel.net/finder?modal=29041
무직전생 ~이세계에 갔으면 최선을 다한다~ Part 2,https://laftel.net/finder?modal=40510
도쿄 리벤저스 part 1,https://laftel.net/finder?modal=40260
하이큐!! 카라스노 고교 VS 시라토리자와학원 고교 (3기),https://laftel.net/finder?modal=35974
(자막) 나의 히어로 아카데미아 1기,https://laftel.net/finder?modal=27209
코바야시네 메이드래곤,https://laftel.net/finder?modal=36775
오버로드 4기,https://laftel.net/finder?modal=40902
카구야 님은 고백받고 싶어 ~천재들의 연애 두뇌전~ 1기,https://laftel.net/finder?modal=39072
마법사의 신부,https://laftel.net/finder?modal=37974
무직전생 ~이세계에 갔으면 최선을 다한다~ Part 1,https://laftel.net/finder?modal=40156
달이 이끄는 이세계 여행,https://laftel.net/finder?modal=40370
여성향 게임의 파멸 플래그밖에 없는 악역 영애로 환생해버렸다···,https://laftel.net/finder?modal=39745
외톨이 THE ROCK!,https://laftel.net/finder?modal=41087
(더빙) 짱구는 못말려 10,https://laftel.net/finder?modal=16220
오버로드 1기,https://laftel.net/finder?modal=25015
암살교실 2기,https://laftel.net/finder?modal=28765
